# 2theta y_obs y_calc y_diff
1.738070000000000093e+01 2.904000000000000000e+03 2.961356393937046050e+03 -5.735639393704605027e+01
1.739741000000000071e+01 2.943000000000000000e+03 2.960769534202387149e+03 -1.776953420238714898e+01
1.741412000000000049e+01 2.936000000000000000e+03 2.960190628580298835e+03 -2.419062858029883500e+01
1.743083000000000027e+01 2.879000000000000000e+03 2.959619706700963889e+03 -8.061970670096388858e+01
1.744754000000000005e+01 2.949000000000000000e+03 2.959056796320925969e+03 -1.005679632092596876e+01
1.746424999999999983e+01 3.040000000000000000e+03 2.958501923345504110e+03 8.149807665449588967e+01
1.748095999999999961e+01 3.039000000000000000e+03 2.957955111851031688e+03 8.104488814896831173e+01
1.749766999999999939e+01 2.932000000000000000e+03 2.957416384106938494e+03 -2.541638410693849437e+01
1.751438999999999879e+01 2.871000000000000000e+03 2.956885445479442751e+03 -8.588544547944275109e+01
1.753109999999999857e+01 2.950000000000000000e+03 2.956362949792644031e+03 -6.362949792644030822e+00
1.754780999999999835e+01 2.872000000000000000e+03 2.955848594051170949e+03 -8.384859405117094866e+01
1.756452000000000169e+01 2.989000000000000000e+03 2.955342393513442403e+03 3.365760648655759724e+01
1.758123000000000147e+01 2.967000000000000000e+03 2.954844361738989846e+03 1.215563826101015366e+01
1.759794000000000125e+01 2.859000000000000000e+03 2.954354510609596218e+03 -9.535451060959621827e+01
1.761465000000000103e+01 2.973000000000000000e+03 2.953872850350258432e+03 1.912714964974156828e+01
1.763136000000000081e+01 2.972000000000000000e+03 2.953399389550000706e+03 1.860061044999929436e+01
1.764808000000000021e+01 3.027000000000000000e+03 2.952933859212004791e+03 7.406614078799520939e+01
1.766478999999999999e+01 2.887000000000000000e+03 2.952476821571860455e+03 -6.547682157186045515e+01
1.768149999999999977e+01 2.975000000000000000e+03 2.952027999549690776e+03 2.297200045030922411e+01
1.769820999999999955e+01 2.910000000000000000e+03 2.951587395394782561e+03 -4.158739539478256120e+01
1.771491999999999933e+01 2.949000000000000000e+03 2.951155009822222837e+03 -2.155009822222837101e+00
1.773162999999999911e+01 2.942000000000000000e+03 2.950730842032804958e+03 -8.730842032804957853e+00
