# 2theta y_obs y_calc y_diff
2.968018999999999963e+01 2.896000000000000000e+03 2.830715443931216214e+03 6.528455606878378603e+01
2.969689999999999941e+01 2.858000000000000000e+03 2.830978064243659446e+03 2.702193575634055378e+01
2.971360999999999919e+01 2.875000000000000000e+03 2.831478735365831653e+03 4.352126463416834667e+01
2.973031999999999897e+01 2.783000000000000000e+03 2.832235780237183008e+03 -4.923578023718300756e+01
2.974703999999999837e+01 2.845000000000000000e+03 2.833270508890717338e+03 1.172949110928266236e+01
2.976375000000000171e+01 2.884000000000000000e+03 2.834604913248431785e+03 4.939508675156821482e+01
2.978046000000000149e+01 2.942000000000000000e+03 2.836265750516052776e+03 1.057342494839472238e+02
2.979717000000000127e+01 2.843000000000000000e+03 2.838282709980673644e+03 4.717290019326355832e+00
2.981388000000000105e+01 2.759000000000000000e+03 2.840689493442493585e+03 -8.168949344249358546e+01
2.983059000000000083e+01 2.757000000000000000e+03 2.843524465667195727e+03 -8.652446566719572729e+01
2.984730000000000061e+01 2.888000000000000000e+03 2.846831431842122583e+03 4.116856815787741652e+01
2.986401000000000039e+01 2.944000000000000000e+03 2.850660571219823396e+03 9.333942878017660405e+01
2.988072999999999979e+01 2.789000000000000000e+03 2.855072388850452171e+03 -6.607238885045217103e+01
2.989743999999999957e+01 2.818000000000000000e+03 2.860128191628106833e+03 -4.212819162810683338e+01
2.991414999999999935e+01 2.861000000000000000e+03 2.865907529064846585e+03 -4.907529064846585243e+00
2.993085999999999913e+01 2.881000000000000000e+03 2.872500075333287896e+03 8.499924666712104226e+00
2.994756999999999891e+01 2.914000000000000000e+03 2.880010615810851505e+03 3.398938418914849535e+01
2.996427999999999869e+01 2.909000000000000000e+03 2.888562189027935347e+03 2.043781097206465347e+01
2.998098999999999847e+01 2.982000000000000000e+03 2.898300020013381527e+03 8.369997998661847305e+01
2.999769999999999825e+01 3.014000000000000000e+03 2.909396481638993464e+03 1.046035183610065360e+02
3.001442000000000121e+01 2.945000000000000000e+03 2.922065495579045091e+03 2.293450442095490871e+01
3.003113000000000099e+01 2.939000000000000000e+03 2.936539422779439519e+03 2.460577220560480782e+00
3.004784000000000077e+01 2.997000000000000000e+03 2.953124784980606364e+03 4.387521501939363588e+01
3.006455000000000055e+01 2.925000000000000000e+03 2.972186746058240715e+03 -4.718674605824071477e+01
3.008126000000000033e+01 3.059000000000000000e+03 2.994174304658735309e+03 6.482569534126469080e+01
3.009797000000000011e+01 2.970000000000000000e+03 3.019644506573112722e+03 -4.964450657311272153e+01
3.011467999999999989e+01 2.995000000000000000e+03 3.049295237509192702e+03 -5.429523750919270242e+01
3.013138999999999967e+01 3.095000000000000000e+03 3.084010271842323164e+03 1.098972815767683642e+01
3.014810999999999908e+01 3.179000000000000000e+03 3.124948831215201153e+03 5.405116878479884690e+01
3.016481999999999886e+01 3.275000000000000000e+03 3.173534322144776525e+03 1.014656778552234755e+02
3.018152999999999864e+01 3.285000000000000000e+03 3.231734096073093951e+03 5.326590392690604858e+01
3.019823999999999842e+01 3.263000000000000000e+03 3.302179734383124924e+03 -3.917973438312492362e+01
3.021495000000000175e+01 3.485000000000000000e+03 3.388563610259354391e+03 9.643638974064560898e+01
3.023166000000000153e+01 3.641000000000000000e+03 3.496354248205933345e+03 1.446457517940666548e+02
3.024837000000000131e+01 3.704000000000000000e+03 3.634214337525320389e+03 6.978566247467961148e+01
3.026508000000000109e+01 3.961000000000000000e+03 3.816720622365412055e+03 1.442793776345879451e+02
3.028180000000000049e+01 4.334000000000000000e+03 4.069315444056072920e+03 2.646845559439270801e+02
3.029851000000000028e+01 4.740000000000000000e+03 4.435000779422736741e+03 3.049992205772632587e+02
3.031522000000000006e+01 5.149000000000000000e+03 4.984383866446848515e+03 1.646161335531514851e+02
3.033192999999999984e+01 5.700000000000000000e+03 5.822088031263365338e+03 -1.220880312633653375e+02
3.034863999999999962e+01 6.660000000000000000e+03 7.080963474069121730e+03 -4.209634740691217303e+02
3.036534999999999940e+01 8.210000000000000000e+03 8.888432466196691166e+03 -6.784324661966911663e+02
3.038205999999999918e+01 1.063900000000000000e+04 1.129075422586302011e+04 -6.517542258630201104e+02
3.039876999999999896e+01 1.332000000000000000e+04 1.416082451766733357e+04 -8.408245176673335664e+02
3.041548999999999836e+01 1.617700000000000000e+04 1.717121526528752293e+04 -9.942152652875229251e+02
3.043220000000000169e+01 1.897400000000000000e+04 1.962246169690343959e+04 -6.484616969034395879e+02
3.044891000000000147e+01 2.017400000000000000e+04 2.059093744786977550e+04 -4.169374478697754967e+02
3.046562000000000126e+01 1.983200000000000000e+04 1.982709717677144727e+04 4.902823228552733781e+00
3.048233000000000104e+01 1.791500000000000000e+04 1.820351994498012573e+04 -2.885199449801257288e+02
3.049904000000000082e+01 1.622800000000000000e+04 1.661066162964494652e+04 -3.826616296449465153e+02
3.051575000000000060e+01 1.441400000000000000e+04 1.507292600340194804e+04 -6.589260034019480372e+02
3.053246000000000038e+01 1.262000000000000000e+04 1.318383401829243667e+04 -5.638340182924366673e+02
3.054917999999999978e+01 1.072500000000000000e+04 1.091614998010383897e+04 -1.911499801038389705e+02
3.056588999999999956e+01 8.747000000000000000e+03 8.731892370118690451e+03 1.510762988130954909e+01
3.058259999999999934e+01 6.804000000000000000e+03 6.979730704231777963e+03 -1.757307042317779633e+02
3.059930999999999912e+01 5.505000000000000000e+03 5.721246361001060905e+03 -2.162463610010609045e+02
3.061601999999999890e+01 4.688000000000000000e+03 4.876472260174985422e+03 -1.884722601749854221e+02
3.063272999999999868e+01 4.242000000000000000e+03 4.328314742510369797e+03 -8.631474251036979695e+01
3.064943999999999846e+01 3.841000000000000000e+03 3.970610369478311441e+03 -1.296103694783114406e+02
3.066616000000000142e+01 3.721000000000000000e+03 3.726901776266217439e+03 -5.901776266217439115e+00
3.068287000000000120e+01 3.493000000000000000e+03 3.550857867282056759e+03 -5.785786728205675900e+01
3.069958000000000098e+01 3.415000000000000000e+03 3.416605244718917675e+03 -1.605244718917674618e+00
3.071629000000000076e+01 3.317000000000000000e+03 3.310288682832060658e+03 6.711317167939341743e+00
3.073300000000000054e+01 3.241000000000000000e+03 3.223996866218787545e+03 1.700313378121245478e+01
3.074971000000000032e+01 3.077000000000000000e+03 3.152746780157289322e+03 -7.574678015728932223e+01
3.076642000000000010e+01 2.974000000000000000e+03 3.093121024180598397e+03 -1.191210241805983969e+02
3.078312999999999988e+01 3.061000000000000000e+03 3.042648943800078996e+03 1.835105619992100401e+01
3.079984999999999928e+01 2.973000000000000000e+03 2.999466037394879550e+03 -2.646603739487954954e+01
3.081655999999999906e+01 2.970000000000000000e+03 2.962225285417379382e+03 7.774714582620617875e+00
3.083326999999999884e+01 2.787000000000000000e+03 2.929820795069663291e+03 -1.428207950696632906e+02
3.084997999999999863e+01 2.881000000000000000e+03 2.901410183083638913e+03 -2.041018308363891265e+01
3.086668999999999841e+01 2.946000000000000000e+03 2.876327385699760725e+03 6.967261430023927460e+01
3.088340000000000174e+01 2.874000000000000000e+03 2.854040066848052902e+03 1.995993315194709794e+01
3.090011000000000152e+01 2.851000000000000000e+03 2.834118574104175423e+03 1.688142589582457731e+01
3.091682000000000130e+01 2.839000000000000000e+03 2.816212997878766146e+03 2.278700212123385427e+01
3.093354000000000070e+01 2.791000000000000000e+03 2.800026789965447279e+03 -9.026789965447278519e+00
3.095025000000000048e+01 2.744000000000000000e+03 2.785341446245997304e+03 -4.134144624599730378e+01
3.096696000000000026e+01 2.826000000000000000e+03 2.771948682785587607e+03 5.405131721441239279e+01
3.098367000000000004e+01 2.838000000000000000e+03 2.759682319066380842e+03 7.831768093361915817e+01
3.100037999999999982e+01 2.752000000000000000e+03 2.748402105915896755e+03 3.597894084103245405e+00
3.101708999999999961e+01 2.777000000000000000e+03 2.737989003237849829e+03 3.901099676215017098e+01
3.103379999999999939e+01 2.777000000000000000e+03 2.728341433337799572e+03 4.865856666220042825e+01
3.105050999999999917e+01 2.809000000000000000e+03 2.719372285794740037e+03 8.962771420525996291e+01
3.106722999999999857e+01 2.635000000000000000e+03 2.711001666930184001e+03 -7.600166693018400110e+01
3.108393999999999835e+01 2.792000000000000000e+03 2.703174607034824476e+03 8.882539296517552430e+01
3.110065000000000168e+01 2.654000000000000000e+03 2.695829486267674838e+03 -4.182948626767483802e+01
3.111736000000000146e+01 2.661000000000000000e+03 2.688917064842629316e+03 -2.791706484262931554e+01
3.113407000000000124e+01 2.774000000000000000e+03 2.682394224878989007e+03 9.160577512101099273e+01
3.115078000000000102e+01 2.673000000000000000e+03 2.676223076344627316e+03 -3.223076344627315848e+00
3.116749000000000080e+01 2.701000000000000000e+03 2.670370212014981007e+03 3.062978798501899291e+01
3.118420000000000059e+01 2.749000000000000000e+03 2.664806083684178702e+03 8.419391631582129776e+01
3.120091999999999999e+01 2.666000000000000000e+03 2.659501378653937991e+03 6.498621346062009252e+00
3.121762999999999977e+01 2.657000000000000000e+03 2.654439108962829778e+03 2.560891037170222262e+00
3.123433999999999955e+01 2.697000000000000000e+03 2.649595220420937949e+03 4.740477957906205120e+01
3.125104999999999933e+01 2.684000000000000000e+03 2.645167786949791662e+03 3.883221305020833825e+01
3.126775999999999911e+01 2.642000000000000000e+03 2.640708849806690068e+03 1.291150193309931637e+00
3.128446999999999889e+01 2.688000000000000000e+03 2.636418027653904574e+03 5.158197234609542647e+01
3.130117999999999867e+01 2.681000000000000000e+03 2.632281808195062695e+03 4.871819180493730528e+01
3.131788999999999845e+01 2.662000000000000000e+03 2.628287991717084878e+03 3.371200828291512153e+01
3.133461000000000141e+01 2.608000000000000000e+03 2.624537210877650978e+03 -1.653721087765097764e+01
3.135132000000000119e+01 2.638000000000000000e+03 2.620797288742686305e+03 1.720271125731369466e+01
3.136803000000000097e+01 2.674000000000000000e+03 2.617169647136835920e+03 5.683035286316408019e+01
3.138474000000000075e+01 2.625000000000000000e+03 2.613646015734074808e+03 1.135398426592519172e+01
3.140145000000000053e+01 2.596000000000000000e+03 2.610218855137588434e+03 -1.421885513758843445e+01
3.141816000000000031e+01 2.588000000000000000e+03 2.606881280520148266e+03 -1.888128052014826608e+01
3.143487000000000009e+01 2.586000000000000000e+03 2.603626994448408823e+03 -1.762699444840882279e+01
3.145157999999999987e+01 2.568000000000000000e+03 2.600450227648368127e+03 -3.245022764836812712e+01
3.146829999999999927e+01 2.590000000000000000e+03 2.597343849394541849e+03 -7.343849394541848596e+00
3.148500999999999905e+01 2.577000000000000000e+03 2.594306709122670327e+03 -1.730670912267032691e+01
3.150171999999999883e+01 2.602000000000000000e+03 2.591332452335727794e+03 1.066754766427220602e+01
3.151842999999999861e+01 2.566000000000000000e+03 2.588416955193743888e+03 -2.241695519374388823e+01
3.153513999999999839e+01 2.647000000000000000e+03 2.585556412914704651e+03 6.144358708529534852e+01
3.155185000000000173e+01 2.560000000000000000e+03 2.582747310658347942e+03 -2.274731065834794208e+01
3.156856000000000151e+01 2.590000000000000000e+03 2.579986397483291967e+03 1.001360251670803336e+01
3.158527000000000129e+01 2.598000000000000000e+03 2.577270663011539455e+03 2.072933698846054540e+01
3.160199000000000069e+01 2.587000000000000000e+03 2.574595728798908567e+03 1.240427120109143289e+01
3.161870000000000047e+01 2.620000000000000000e+03 2.571962203317499188e+03 4.803779668250081158e+01
3.163541000000000025e+01 2.652000000000000000e+03 2.569366068268056097e+03 8.263393173194390329e+01
3.165212000000000003e+01 2.513000000000000000e+03 2.566805086128098537e+03 -5.380508612809853730e+01
3.166882999999999981e+01 2.562000000000000000e+03 2.564277174077978543e+03 -2.277174077978543210e+00
3.168553999999999959e+01 2.603000000000000000e+03 2.561780391499807138e+03 4.121960850019286227e+01
3.170224999999999937e+01 2.646000000000000000e+03 2.559312928651268521e+03 8.668707134873147879e+01
3.171896999999999878e+01 2.623000000000000000e+03 2.556871644238629415e+03 6.612835576137058524e+01
3.173567999999999856e+01 2.477000000000000000e+03 2.554457879823155508e+03 -7.745787982315550835e+01
3.175238999999999834e+01 2.563000000000000000e+03 2.552068692150254265e+03 1.093130784974573544e+01
3.176910000000000167e+01 2.537000000000000000e+03 2.549702701195984446e+03 -1.270270119598444580e+01
3.178581000000000145e+01 2.607000000000000000e+03 2.547358614907242099e+03 5.964138509275790057e+01
3.180252000000000123e+01 2.559000000000000000e+03 2.545035222757410338e+03 1.396477724258966191e+01
3.181923000000000101e+01 2.498000000000000000e+03 2.542731389854144709e+03 -4.473138985414470881e+01
3.183594000000000079e+01 2.570000000000000000e+03 2.540446051545668979e+03 2.955394845433102091e+01
3.185266000000000020e+01 2.553000000000000000e+03 2.538176856348333786e+03 1.482314365166621428e+01
3.186936999999999998e+01 2.484000000000000000e+03 2.535925579567743171e+03 -5.192557956774317063e+01
3.188607999999999976e+01 2.536000000000000000e+03 2.533689976929220393e+03 2.310023070779607224e+00
3.190278999999999954e+01 2.595000000000000000e+03 2.531469219235357741e+03 6.353078076464225887e+01
3.191949999999999932e+01 2.500000000000000000e+03 2.529262526528565104e+03 -2.926252652856510394e+01
3.193620999999999910e+01 2.546000000000000000e+03 2.527069164843280305e+03 1.893083515671969508e+01
3.195291999999999888e+01 2.536000000000000000e+03 2.524888443210562400e+03 1.111155678943759995e+01
3.196962999999999866e+01 2.498000000000000000e+03 2.522719710892795774e+03 -2.471971089279577427e+01
3.198635000000000161e+01 2.561000000000000000e+03 2.520561067060489222e+03 4.043893293951077794e+01
3.200305999999999784e+01 2.472000000000000000e+03 2.518414515796313481e+03 -4.641451579631348068e+01
3.201977000000000118e+01 2.569000000000000000e+03 2.516278218095240845e+03 5.272178190475915471e+01
3.203647999999999740e+01 2.408000000000000000e+03 2.514151660447565973e+03 -1.061516604475659733e+02
