# 2theta y_obs y_calc y_diff
2.303999999999999826e+00 4.079700000000000000e+04 4.024332373178962735e+04 5.536762682103726547e+02
2.307999999999999829e+00 4.061800000000000000e+04 4.023172862471415283e+04 3.862713752858471707e+02
2.311999999999999833e+00 4.063000000000000000e+04 4.022009549494017847e+04 4.099045050598215312e+02
2.315999999999999837e+00 4.055000000000000000e+04 4.020842457527197257e+04 3.415754247280274285e+02
2.319999999999999840e+00 3.999100000000000000e+04 4.019671609780018480e+04 -2.057160978001847980e+02
2.323999999999999844e+00 4.064400000000000000e+04 4.018497029390318494e+04 4.590297060968150618e+02
2.327999999999999847e+00 4.045500000000000000e+04 4.017318739424871455e+04 2.818126057512854459e+02
2.331999999999999851e+00 4.050300000000000000e+04 4.016136762879524031e+04 3.416323712047596928e+02
2.335999999999999854e+00 4.003600000000000000e+04 4.014951122679358377e+04 -1.135112267935837735e+02
2.339999999999999858e+00 4.019300000000000000e+04 4.013761841678831115e+04 5.538158321168884868e+01
2.343999999999999861e+00 4.038200000000000000e+04 4.012568942661926121e+04 2.563105733807387878e+02
2.347999999999999865e+00 4.093000000000000000e+04 4.011372448342306598e+04 8.162755165769340238e+02
2.351999999999999869e+00 4.069000000000000000e+04 4.010172381363451132e+04 5.882761863654886838e+02
2.355999999999999872e+00 4.014800000000000000e+04 4.008968764298822498e+04 5.831235701177502051e+01
2.359999999999999876e+00 4.126900000000000000e+04 4.007761619651999354e+04 1.191383803480006463e+03
2.363999999999999879e+00 4.024600000000000000e+04 4.006550969856829761e+04 1.804903014317023917e+02
2.367999999999999883e+00 4.054400000000000000e+04 4.005336837277572340e+04 4.906316272242765990e+02
2.371999999999999886e+00 3.983200000000000000e+04 4.004119244209058525e+04 -2.091924420905852458e+02
2.375999999999999890e+00 4.009700000000000000e+04 4.002898212876826437e+04 6.801787123173562577e+01
2.379999999999999893e+00 4.035400000000000000e+04 4.001673765437270049e+04 3.372623456272995099e+02
2.383999999999999897e+00 4.008200000000000000e+04 4.000445923977793427e+04 7.754076022206572816e+01
2.387999999999999901e+00 4.016850000000000000e+04 3.999214710516943887e+04 1.763528948305611266e+02
2.391999999999999904e+00 4.077100000000000000e+04 3.997980147004573519e+04 7.911985299542648136e+02
2.395999999999999908e+00 4.028000000000000000e+04 3.996742255321969424e+04 3.125774467803057632e+02
2.399999999999999911e+00 4.032100000000000000e+04 3.995501057282010152e+04 3.659894271798984846e+02
2.403999999999999915e+00 4.061100000000000000e+04 3.994256574629317765e+04 6.684342537068223464e+02
2.407999999999999918e+00 4.006500000000000000e+04 3.993008829040380806e+04 1.349117095961919404e+02
2.411999999999999922e+00 3.947700000000000000e+04 3.991757842123718001e+04 -4.405784212371800095e+02
2.415999999999999925e+00 3.948500000000000000e+04 3.990503635420020146e+04 -4.200363542002014583e+02
2.419999999999999929e+00 4.043300000000000000e+04 3.989246230402284709e+04 5.405376959771529073e+02
2.423999999999999932e+00 4.062400000000000000e+04 3.987985648475975177e+04 7.441435152402482345e+02
2.427999999999999936e+00 3.971500000000000000e+04 3.986721910979150562e+04 -1.522191097915056162e+02
2.431999999999999940e+00 4.044300000000000000e+04 3.985455039182626933e+04 5.884496081737306667e+02
2.435999999999999943e+00 4.064200000000000000e+04 3.984185054290098196e+04 8.001494570990180364e+02
2.439999999999999947e+00 4.008400000000000000e+04 3.982911977438297617e+04 2.548802256170238252e+02
2.443999999999999950e+00 3.972100000000000000e+04 3.981635829697139707e+04 -9.535829697139706695e+01
2.447999999999999954e+00 3.996050000000000000e+04 3.980356632069849002e+04 1.569336793015099829e+02
2.451999999999999957e+00 3.982700000000000000e+04 3.979074405493119411e+04 3.625594506880588597e+01
2.455999999999999961e+00 3.941200000000000000e+04 3.977789170837248821e+04 -3.658917083724882104e+02
2.459999999999999964e+00 3.967100000000000000e+04 3.976500948906280246e+04 -9.400948906280245865e+01
2.463999999999999968e+00 3.956800000000000000e+04 3.975209760438149533e+04 -1.840976043814953300e+02
2.467999999999999972e+00 4.039700000000000000e+04 3.973915626104819967e+04 6.578437389518003329e+02
2.471999999999999975e+00 3.965200000000000000e+04 3.972618566512431426e+04 -7.418566512431425508e+01
